ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
dfrF	3002867	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	37.00	0.00	37.00	100.00	495.00	186.35	0	0	0	0	N/A	N/A		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CARB-5	3002244	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus	4.00	0.00	4.00	35.34	317.00	200.75	0	0	0	0	N/A	N/A		897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation
VEB-3	3002372	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	4.00	0.00	4.00	49.22	443.00	200.75	0	0	0	0	N/A	N/A		900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation
msrE	3003109	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1373.00	0.00	1373.00	100.00	1476.00	195.46	0	0	0	0	N/A	N/A		1476	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection
FosA2	3002804	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	19.00	0.00	19.00	76.29	325.00	132.84	0	0	0	0	N/A	N/A		426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
APH(3')-Va	3002649	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces fradiae	8.00	0.00	8.00	22.92	185.00	45.75	0	0	0	0	N/A	N/A		807	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-Ia	3002528	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.00	0.00	7.00	47.31	220.00	154.14	0	0	0	0	N/A	N/A		465	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
rmtH	3003198	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	5.00	0.00	5.00	6.32	48.00	79.20	0	0	0	0	N/A	N/A		759	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
OXA-212	3001711	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	2.00	0.00	2.00	29.45	243.00	197.50	0	0	0	0	N/A	N/A		825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation
mdtP	3003550	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	107.00	0.00	107.00	100.00	1467.00	186.36	0	0	0	0	N/A	N/A		1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
lnuA	3002835	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus haemolyticus	13.00	0.00	13.00	90.74	441.00	132.00	0	0	0	0	N/A	N/A		486	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
