ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_118_8 # 7809 # 8786 # 1 # ID=213_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413	k141_118	7809	8786	+	Strict	200	257.7	vanH gene in vanO cluster	44.12	3002948	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	92.86	gnl|BL_ORD_ID|762|hsp_num:0	786			126	1032	vancomycin	
k141_133386_1 # 39 # 1958 # -1 # ID=2269_1;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404	k141_133386	39	1958	-	Strict	300	1268.4	tet(O)	99.22	3000190	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	gnl|BL_ORD_ID|1954|hsp_num:0	2020			0	1917	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_1886_1 # 3 # 2603 # -1 # ID=2696_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.679	k141_1886	3	2603	-	Strict	750	1040.4	adeF	62.98	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	81.87	gnl|BL_ORD_ID|133|hsp_num:0	153			0	2583	tetracycline	
k141_2015_4 # 3826 # 4155 # 1 # ID=2843_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385	k141_2015	3826	4155	+	Strict	75	93.2	qacJ	45.19	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	101.87	gnl|BL_ORD_ID|4661|hsp_num:0	5730			6	318	benzalkonium chloride	
k141_661005_3 # 1760 # 2539 # 1 # ID=3371_3;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.624	k141_661005	1760	2539	+	Strict	50	105.1	vanY gene in vanG cluster	34.59	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	92.83	gnl|BL_ORD_ID|4731|hsp_num:0	298			291	816	vancomycin	
k141_134497_2 # 872 # 1216 # 1 # ID=4153_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388	k141_134497	872	1216	+	Strict	75	95.9	qacJ	44.34	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	106.54	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_266638_2 # 314 # 1027 # -1 # ID=4417_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.385	k141_266638	314	1027	-	Strict	300	305.8	tet(O)	64.38	3000190	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	37.09	gnl|BL_ORD_ID|1954|hsp_num:0	2020			1254	1911	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_661936_1 # 147 # 1373 # 1 # ID=4901_1;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.500	k141_661936	147	1373	+	Perfect	700	800.8	EreA2	100.0	3002826	protein homolog model	n/a	n/a	macrolide antibiotic	antibiotic inactivation	macrolide esterase	100.00	gnl|BL_ORD_ID|1398|hsp_num:0	1518			0	1224	erythromycin	
k141_135309_3 # 907 # 1659 # -1 # ID=5244_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.610	k141_135309	907	1659	-	Strict	50	129.0	vanY gene in vanB cluster	37.27	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	93.28	gnl|BL_ORD_ID|603|hsp_num:0	556			153	792	vancomycin	
k141_926608_3 # 1331 # 1663 # -1 # ID=5835_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.529	k141_926608	1331	1663	-	Strict	75	79.7	qacJ	35.58	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	102.80	gnl|BL_ORD_ID|4661|hsp_num:0	5730			6	318	benzalkonium chloride	
k141_531156_2 # 1480 # 1974 # 1 # ID=6432_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.335	k141_531156	1480	1974	+	Strict	300	343.6	lnuC	98.17	3002837	protein homolog model	n/a	n/a	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)	100.00	gnl|BL_ORD_ID|344|hsp_num:0	376			0	492	lincomycin	
k141_4915_5 # 4470 # 5417 # 1 # ID=7049_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.249	k141_4915	4470	5417	+	Strict	50	114.8	vanY gene in vanA cluster	33.06	3002955	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	103.96	gnl|BL_ORD_ID|4668|hsp_num:0	89			54	723	vancomycin; teicoplanin	
k141_927688_1 # 3 # 1841 # 1 # ID=7214_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.359	k141_927688	3	1841	+	Strict	50	95.1	vanW gene in vanI cluster	27.88	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	164.08	gnl|BL_ORD_ID|4747|hsp_num:0	2242			396	1056	vancomycin; teicoplanin	
k141_268926_4 # 3656 # 3898 # -1 # ID=7643_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.547	k141_268926	3656	3898	-	Strict	50	82.4	vanY gene in vanB cluster	55.36	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	29.85	gnl|BL_ORD_ID|603|hsp_num:0	556			621	789	vancomycin	
k141_5666_10 # 8476 # 9426 # -1 # ID=8125_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.259	k141_5666	8476	9426	-	Strict	50	101.3	vanY gene in vanA cluster	30.58	3002955	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	104.29	gnl|BL_ORD_ID|4668|hsp_num:0	89			54	723	vancomycin; teicoplanin	
k141_401587_2 # 958 # 1293 # 1 # ID=8823_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=15bp;gc_cont=0.384	k141_401587	958	1293	+	Strict	75	99.8	qacG	48.51	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	103.74	gnl|BL_ORD_ID|4662|hsp_num:0	5731			0	303	benzalkonium chloride	
k141_401681_1 # 3 # 497 # -1 # ID=8998_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.618	k141_401681	3	497	-	Strict	125	170.2	vanXY gene in vanG cluster	51.2	3003069	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY	64.96	gnl|BL_ORD_ID|305|hsp_num:0	253			3	498	vancomycin	
k141_401681_2 # 494 # 1543 # -1 # ID=8998_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.581	k141_401681	494	1543	-	Strict	250	418.7	vanG	58.45	3002909	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	100.00	gnl|BL_ORD_ID|1070|hsp_num:0	1157			0	1047	vancomycin	
k141_401681_3 # 1547 # 2443 # -1 # ID=8998_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.560	k141_401681	1547	2443	-	Strict	50	339.0	vanW gene in vanB cluster	57.35	3002964	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	108.36	gnl|BL_ORD_ID|4679|hsp_num:0	1036			0	816	vancomycin	
k141_532684_2 # 344 # 1102 # -1 # ID=9100_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.576	k141_532684	344	1102	-	Strict	50	128.3	vanY gene in vanG cluster	39.34	3002959	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	90.32	gnl|BL_ORD_ID|4731|hsp_num:0	298			294	813	vancomycin	
k141_7470_2 # 796 # 1851 # -1 # ID=10812_2;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.337	k141_7470	796	1851	-	Strict	50	102.1	vanW gene in vanI cluster	31.1	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	94.10	gnl|BL_ORD_ID|4747|hsp_num:0	2242			483	1083	vancomycin; teicoplanin	
k141_141525_15 # 10850 # 11014 # -1 # ID=13858_15;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.600	k141_141525	10850	11014	-	Strict	50	62.4	vanY gene in vanB cluster	54.35	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	20.15	gnl|BL_ORD_ID|603|hsp_num:0	556			654	792	vancomycin	
