ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_341_2 # 1073 # 1948 # 1 # ID=714_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.643	k141_341	1073	1948	+	Strict	50	121.7	vanY gene in vanB cluster	39.11	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	108.58	gnl|BL_ORD_ID|603|hsp_num:0	556			270	792	vancomycin	
k141_89612_3 # 901 # 1245 # -1 # ID=1081_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.383	k141_89612	901	1245	-	Strict	75	95.9	qacJ	44.34	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	106.54	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_624030_1 # 20 # 1939 # 1 # ID=2322_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.531	k141_624030	20	1939	+	Perfect	300	1255.4	tet(W)	100.0	3000194	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	gnl|BL_ORD_ID|457|hsp_num:0	389			0	1917	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_90341_2 # 781 # 1887 # 1 # ID=2375_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396	k141_90341	781	1887	+	Strict	300	326.6	tet(44)	46.63	3000556	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	57.66	gnl|BL_ORD_ID|1198|hsp_num:0	1171			0	1101	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_445960_15 # 14555 # 16363 # 1 # ID=2509_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.511	k141_445960	14555	16363	+	Strict	50	112.5	vanW gene in vanI cluster	28.85	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	161.39	gnl|BL_ORD_ID|4747|hsp_num:0	2242			63	1050	vancomycin; teicoplanin	
k141_535670_3 # 1615 # 2379 # 1 # ID=3938_3;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.305	k141_535670	1615	2379	+	Strict	50	111.3	vanY gene in vanB cluster	31.99	3002956	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	94.78	gnl|BL_ORD_ID|603|hsp_num:0	556			45	795	vancomycin	
k141_535677_3 # 1802 # 2119 # -1 # ID=3956_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.286	k141_535677	1802	2119	-	Strict	75	75.9	qacJ	43.88	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	98.13	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	294	benzalkonium chloride	
k141_91304_5 # 4596 # 8117 # 1 # ID=4272_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.596	k141_91304	4596	8117	+	Strict	750	863.2	adeF	46.99	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	110.76	gnl|BL_ORD_ID|133|hsp_num:0	153			6	3126	tetracycline	
k141_180798_4 # 2142 # 2471 # 1 # ID=5654_4;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.394	k141_180798	2142	2471	+	Strict	75	83.2	qacJ	37.74	3007014	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	101.87	gnl|BL_ORD_ID|4661|hsp_num:0	5730			0	318	benzalkonium chloride	
k141_447650_1 # 2 # 1072 # 1 # ID=5893_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.329	k141_447650	2	1072	+	Strict	175	191.0	vanT gene in vanG cluster	31.87	3002972	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	50.00	gnl|BL_ORD_ID|1523|hsp_num:0	1561			1053	2127	vancomycin	
