ORF_ID	Contig	Start	Stop	Orientation	Cut_Off	Pass_Bitscore	Best_Hit_Bitscore	Best_Hit_ARO	Best_Identities	ARO	Model_type	SNPs_in_Best_Hit_ARO	Other_SNPs	Drug Class	Resistance Mechanism	AMR Gene Family	Percentage Length of Reference Sequence	ID	Model_ID	Nudged	Note	Hit_Start	Hit_End	Antibiotic	AST_Source
k141_583990_2 # 480 # 1160 # -1 # ID=439_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.559	k141_583990	480	1160	-	Strict	50	96.3	vanW gene in vanI cluster	41.94	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	60.59	gnl|BL_ORD_ID|4747|hsp_num:0	2242			675	1047	vancomycin; teicoplanin	
k141_351073_3 # 1322 # 2644 # -1 # ID=1143_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.576	k141_351073	1322	2644	-	Strict	600	630.6	Acinetobacter baumannii AbaQ	72.58	3004574	protein homolog model	n/a	n/a	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	101.38	gnl|BL_ORD_ID|2718|hsp_num:0	3278			0	1269		
k141_818653_1 # 2 # 1456 # 1 # ID=2082_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.400	k141_818653	2	1456	+	Strict	300	951.8	tet(Q)	97.52	3000191	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	73.67	gnl|BL_ORD_ID|1220|hsp_num:0	1183			519	1971	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_1768_3 # 1048 # 2100 # 1 # ID=2538_3;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429	k141_1768	1048	2100	+	Strict	50	110.5	vanW gene in vanI cluster	30.97	3003724	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	94.10	gnl|BL_ORD_ID|4747|hsp_num:0	2242			114	987	vancomycin; teicoplanin	
k141_468934_1 # 2 # 1006 # 1 # ID=2761_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.377	k141_468934	2	1006	+	Strict	300	599.7	tet(Q)	88.66	3000191	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	50.99	gnl|BL_ORD_ID|1220|hsp_num:0	1183			831	1836	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_235875_2 # 1458 # 2330 # -1 # ID=3616_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.495	k141_235875	1458	2330	-	Strict	500	503.4	leuO	83.79	3003843	protein homolog model	n/a	n/a	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	92.36	gnl|BL_ORD_ID|4927|hsp_num:0	5921			72	942	acriflavine; puromycin	
k141_352819_3 # 1690 # 3609 # -1 # ID=3692_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413	k141_352819	1690	3609	-	Strict	300	1269.2	tet(32)	99.37	3000196	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	100.00	gnl|BL_ORD_ID|1221|hsp_num:0	1233			0	1917	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	
k141_236460_6 # 3596 # 4810 # -1 # ID=4511_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.587	k141_236460	3596	4810	-	Perfect	750	750.0	cmlA9	100.0	3005043	protein homolog model	n/a	n/a	phenicol antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|2774|hsp_num:0	3786			0	1212	chloramphenicol	
k141_704040_2 # 1791 # 2978 # -1 # ID=4687_2;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.405	k141_704040	1791	2978	-	Perfect	750	746.5	tet(39)	100.0	3000566	protein homolog model	n/a	n/a	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|1038|hsp_num:0	1092			0	1185	tetracycline	
k141_470224_2 # 2848 # 4095 # -1 # ID=4720_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.556	k141_470224	2848	4095	-	Strict	725	777.7	mdtA	99.76	3000792	protein homolog model	n/a	n/a	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|354|hsp_num:0	387			0	1245	novobiocin	
k141_237648_1 # 272 # 823 # 1 # ID=6378_1;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.563	k141_237648	272	823	+	Perfect	300	373.6	dfrA26	100.0	3002857	protein homolog model	n/a	n/a	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr	100.00	gnl|BL_ORD_ID|599|hsp_num:0	654			0	549	trimethoprim	
k141_237804_2 # 446 # 970 # -1 # ID=6613_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.480	k141_237804	446	970	-	Perfect	300	360.9	SAT-2	100.0	3002895	protein homolog model	n/a	n/a	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)	100.00	gnl|BL_ORD_ID|1204|hsp_num:0	1285			0	522	streptothricin	
k141_237832_2 # 179 # 979 # -1 # ID=6662_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.492	k141_237832	179	979	-	Perfect	500	548.5	OXA-205	100.0	3001483	protein homolog model	n/a	n/a	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	100.00	gnl|BL_ORD_ID|1440|hsp_num:0	1572			0	798	cloxacillin; oxacillin; cefalotin	
k141_705652_3 # 2084 # 2416 # -1 # ID=6905_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.375	k141_705652	2084	2416	-	Strict	75	85.1	qacG	45.71	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	102.80	gnl|BL_ORD_ID|4662|hsp_num:0	5731			3	318	benzalkonium chloride	
k141_471669_1 # 1 # 684 # -1 # ID=7127_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.557	k141_471669	1	684	-	Strict	50	97.1	vanY gene in vanF cluster	34.12	3002958	protein homolog model	n/a	n/a	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	77.82	gnl|BL_ORD_ID|1809|hsp_num:0	1899			192	654	vancomycin	
k141_238102_9 # 7840 # 10953 # -1 # ID=7236_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.582	k141_238102	7840	10953	-	Strict	750	751.1	adeF	40.83	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	97.92	gnl|BL_ORD_ID|133|hsp_num:0	153			6	3105	tetracycline	
k141_822803_3 # 1757 # 4915 # 1 # ID=9264_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.565	k141_822803	1757	4915	+	Strict	750	768.5	adeF	42.16	3000777	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	99.34	gnl|BL_ORD_ID|133|hsp_num:0	153			6	3126	tetracycline	
k141_707413_2 # 466 # 798 # -1 # ID=9541_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.384	k141_707413	466	798	-	Strict	75	89.0	qacG	38.32	3007015	protein homolog model	n/a	n/a	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	102.80	gnl|BL_ORD_ID|4662|hsp_num:0	5731			0	318	benzalkonium chloride	
k141_240006_5 # 2099 # 2758 # -1 # ID=10373_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.352	k141_240006	2099	2758	-	Strict	400	464.9	catQ	99.54	3002687	protein homolog model	n/a	n/a	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)	100.00	gnl|BL_ORD_ID|1498|hsp_num:0	1633			0	657	azidamfenicol; chloramphenicol; thiamphenicol	
k141_123360_1 # 340 # 1236 # -1 # ID=10842_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.420	k141_123360	340	1236	-	Perfect	500	585.5	CARB-16	100.0	3002255	protein homolog model	n/a	n/a	penam	antibiotic inactivation	CARB beta-lactamase	100.00	gnl|BL_ORD_ID|488|hsp_num:0	533			0	894		
k141_7523_18 # 14010 # 15659 # -1 # ID=11385_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584	k141_7523	14010	15659	-	Strict	400	426.8	ArnT	41.73	3005053	protein homolog model	n/a	n/a	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	99.64	gnl|BL_ORD_ID|2784|hsp_num:0	3795			27	1644	colistin A; colistin B	
k141_241281_5 # 3563 # 3943 # 1 # ID=12420_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.465	k141_241281	3563	3943	+	Strict	230	243.8	marA	94.35	3000263	protein homolog model	n/a	n/a	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	99.21	gnl|BL_ORD_ID|1773|hsp_num:0	1922			0	372	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan	
k141_241446_2 # 313 # 1149 # -1 # ID=12672_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.558	k141_241446	313	1149	-	Strict	500	519.2	APH(3')-Ib	94.46	3002642	protein homolog model	n/a	n/a	aminoglycoside antibiotic	antibiotic inactivation	APH(3')	102.58	gnl|BL_ORD_ID|773|hsp_num:0	835			0	813	neomycin; ribostamycin; kanamycin A; gentamicin B; paromomycin; lividomycin; gentamicin	
k141_709846_8 # 6039 # 7412 # 1 # ID=13154_8;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.549	k141_709846	6039	7412	+	Perfect	890	891.3	cpxA	100.0	3000830	protein homolog model	n/a	n/a	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	100.00	gnl|BL_ORD_ID|132|hsp_num:0	152			0	1371	novobiocin	
